asin,title,brand,price_eur,rating,reviews,cpu,ram_gb,storage_gb,gpu,screen_size_inch,resolution,os,keyboard,product_url,search_page,gaming,touchscreen
B0GMQD788T,"Lenovo Chromebook | Laptop | MediaTek | 4GB RAM| 128GB SSD | Ohne Netzteil | 14"" WUXGA Display | MediaTek Kompanio 540 | 4GB RAM | 128GB UFS 2.2| ARM Mali-G57 MC3 Grafik | ChromeOS | QWERTZ | Blau",Lenovo,325.67,3.7,62.0,AMD Ryzen 5 150,4.0,128.0,NVIDIA GeForce RTX 5060,14.0,1920x1200,Chrome OS,QWERTZ,https://www.amazon.de/Lenovo-Chromebook-MediaTek-Kompanio-Mali-G57/dp/B0GMQD788T/ref=sr_1_62?dib=eyJ2IjoiMSJ9.y362G_P_GbdTWHgr52D8aZGUq4SiRlDFJhO_RGXLkKcHZkUuq3aqaErgfzC3_XQVqmkFc7Rcwo-CMfnrdSS2EtvE0-EHxL1Gxtxy2Z8YS66o1-G84iTCshfQSHB4WnopKW9-Ll5CwGm90k89-c1sMdVl64DtbVHSv0VmjSuhS1D-uPoYKJHA8nHskAbKtN41WrRBq57Efveoy_wn96xmtUwlE5igfv5wPiWjXOZKCCY.m8gIBGnaYJu7-IxGETt0fHhnRq4QqVsH4lSH01us-w4&dib_tag=se&keywords=laptop&qid=1788690799&sr=8-62&xpid=sLKVI6PriDQ7N,4.0,1,1
B0FF3LVKF4,"MSI Cyborg 17, Gaming-Laptop, 17,3"" Full-HD 144 Hz Display, Intel Core 7 240H, NVIDIA GeForce RTX 5060, 16 GB DDR5, 1 TB SSD, Windows 11 Home, inkl. 1 Monat GamePass, B2RWFKG-048",MSI,1374.0,4.4,32.0,Intel Core 7,16.0,1024.0,NVIDIA GeForce RTX 5060,17.3,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/MSI-Gaming-Laptop-Full-HD-GamePass-B2RWFKG-048/dp/B0FF3LVKF4/ref=sr_1_63?dib=eyJ2IjoiMSJ9.y362G_P_GbdTWHgr52D8aZGUq4SiRlDFJhO_RGXLkKcHZkUuq3aqaErgfzC3_XQVqmkFc7Rcwo-CMfnrdSS2EtvE0-EHxL1Gxtxy2Z8YS66o1-G84iTCshfQSHB4WnopKW9-Ll5CwGm90k89-c1sMdVl64DtbVHSv0VmjSuhS1D-uPoYKJHA8nHskAbKtN41WrRBq57Efveoy_wn96xmtUwlE5igfv5wPiWjXOZKCCY.m8gIBGnaYJu7-IxGETt0fHhnRq4QqVsH4lSH01us-w4&dib_tag=se&keywords=laptop&qid=1788690799&sr=8-63&xpid=sLKVI6PriDQ7N,4.0,1,1
B0GP63VKQ5,Lenovo ThinkPad T14 Gen 2 14 Zoll 1920x1080 Full HD Intel Core i5 1145G7 256GB SSD Festplatte 16GB Speicher Windows 11 Pro Webcam Notebook Laptop (Generalüberholt),Amazon Renewed,360.9,4.9,4.0,Intel Core i5-1145G7,16.0,256.0,Intel Iris Xe,14.0,1920x1080,Windows 11 Pro,QWERTZ,https://www.amazon.de/Lenovo-ThinkPad-1920x1080-Festplatte-General%C3%BCberholt/dp/B0GP63VKQ5/ref=sr_1_64?dib=eyJ2IjoiMSJ9.y362G_P_GbdTWHgr52D8aZGUq4SiRlDFJhO_RGXLkKcHZkUuq3aqaErgfzC3_XQVqmkFc7Rcwo-CMfnrdSS2EtvE0-EHxL1Gxtxy2Z8YS66o1-G84iTCshfQSHB4WnopKW9-Ll5CwGm90k89-c1sMdVl64DtbVHSv0VmjSuhS1D-uPoYKJHA8nHskAbKtN41WrRBq57Efveoy_wn96xmtUwlE5igfv5wPiWjXOZKCCY.m8gIBGnaYJu7-IxGETt0fHhnRq4QqVsH4lSH01us-w4&dib_tag=se&keywords=laptop&qid=1788690799&sr=8-64&xpid=sLKVI6PriDQ7N,4.0,0,0
B0F9X5TG2Q,"HP Omen Gaming Laptop, 16"" 2K WUXGA Display,1920×1200, 16:10, 144Hz, AMD Ryzen 9 8940HX, NVIDIA GeForce RTX 5060 (8 GB), 16GB RAM, 1TB SSD, Win 11, 4-Zonen-RGB-QWERTZ, Wi-Fi 6, Shadow Black",HP,994.21,4.1,29.0,AMD Ryzen 9 8940HX,16.0,1024.0,NVIDIA GeForce RTX 5060,16.0,1920x1200,Windows 11 Home,QWERTZ,https://www.amazon.de/HP-Gaming-Laptop-Display-1920%C3%971200/dp/B0F9X5TG2Q/ref=sr_1_66?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-66&xpid=sLKVI6PriDQ7N,5.0,1,0
B0GHZN1WVF,"Dell 15 Laptop - Intel Core i7-1355U, 16GB RAM, 512GB SSD | 15.6"" FHD entspiegeltes Display, Intel UHD Grafik, Windows 11 Home, Deutsch QWERTZ Tastatur (Netzteil separat erhältlich)",Dell,778.51,4.1,18.0,Intel Core i7-1355U,16.0,512.0,Intel UHD Graphics,15.6,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/Dell-entspiegelt-i7-1355U-Tastatur-erh%C3%A4ltlich/dp/B0GHZN1WVF/ref=sr_1_67?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-67&xpid=sLKVI6PriDQ7N,5.0,0,0
B0GWQWHG9L,"16 Zoll Business Laptop, 16GB RAM, 512GB SSD, Core i3 Prozessor | FHD IPS Display, Fingerabdruck, beleuchtete Tastatur, USB 3.0, WLAN, Type-C Charging, Grüner Notebook für, Arbeit, Schule",Nmybwo,343.71,5.0,2.0,Intel Core 5,16.0,512.0,Unknown,16.0,1920x1200,Windows 11 Home,QWERTZ,https://www.amazon.de/Nmybwo-Business-Laptop-512GB-Prozessor/dp/B0GWQWHG9L/ref=sr_1_69?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-69&xpid=sLKVI6PriDQ7N,5.0,1,1
B0GD827NG1,"Lenovo IdeaPad Slim 5 | Laptop | Intel Ultra 9 | 32GB | 1TB | Ohne Netzteil | 16"" WUXGA Display | Intel Core Ultra 9 185H, 16C | 1TBSSD | 32GB RAM | Intel Arc Grafik | QWERTZ | Windows 11 | Blau",Lenovo,1030.29,4.1,110.0,Intel Core Ultra 9 185H,32.0,1024.0,Intel Arc Graphics,16.0,1920x1200,Windows 11,QWERTZ,https://www.amazon.de/Lenovo-IdeaPad-Copilot-Display-Windows/dp/B0GD827NG1/ref=sr_1_70?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-70&xpid=sLKVI6PriDQ7N,5.0,0,0
B0FCD95Y2F,"ASUS V16 V3607VM Gaming Laptop | 16"" WUXGA 16:10 144Hz IPS Display | Intel Core 7 240H | 16GB RAM | 1TB SSD | NVIDIA RTX 5060 | Win11 Home | QWERTZ | Black | 3Monate GamePass",ASUS,1202.15,3.9,53.0,Intel Core 7 240H,16.0,1024.0,NVIDIA GeForce RTX 5060,16.0,1920x1200,Windows 11 Home,QWERTZ,https://www.amazon.de/ASUS-V3607VM-Gaming-Laptop-WUXGA/dp/B0FCD95Y2F/ref=sr_1_71?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-71&xpid=sLKVI6PriDQ7N,5.0,1,1
B0H9WWGMTS,"Lenovo ThinkPad L13 Yoga Gen 2, Touchscreen 2-in-1 Business Laptop, Intel Core i5-1135G7, 13,3 Zoll FHD, 16GB RAM, 256GB SSD, UK QWERTY Tastatur, Windows 11 Pro (Generalüberholt)",Lenovo,308.49,5.0,40.0,Intel Core i5-1135G7,16.0,256.0,AMD Radeon 780M,13.3,1920x1080,Windows 11 Pro,QWERTZ,https://www.amazon.de/Lenovo-L13-Yoga-Gen-General%C3%BCberholt/dp/B0H9WWGMTS/ref=sr_1_72?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-72&xpid=sLKVI6PriDQ7N,5.0,1,1
B0FKC1WQ3K,"Lenovo IdeaPad Slim 3 | Laptop | Ryzen 5 | 24GB | 1TB | 65W Netzteil | 16"" WUXGA Display | AMD Ryzen 5 7535HS | 1TB SSD | 24GB RAM | AMD Radeon 660M Grafik | QWERTZ | Windows 11 | Blau",Lenovo,600.64,4.6,39.0,AMD Ryzen 5 7535HS,24.0,1024.0,AMD Radeon 660M,16.0,1920x1200,Windows 11 Home,QWERTZ,https://www.amazon.de/Lenovo-IdeaPad-Slim-3-16ARP10/dp/B0FKC1WQ3K/ref=sr_1_73?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-73&xpid=sLKVI6PriDQ7N,5.0,0,0
B0HH8MDSVC,"Auusda Laptop 15,6 Zoll Notebook, 16GB DDR4 RAM 512GB SSD, 3050E Prozessor, Fingerabdrucksensor, beleuchtete Tastatur, Ziffernblock, Privacy-Kameraabdeckung, leichtes Notebook für Schule & Büro,Silber",Auusda,317.28,4.7,4.0,3050E,16.0,512.0,Unknown,15.6,Unknown,Windows 11,Unknown,https://www.amazon.de/Auusda-Fingerabdrucksensor-beleuchtete-Ziffernblock-Privacy-Kameraabdeckung/dp/B0HH8MDSVC/ref=sr_1_74?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-74&xpid=sLKVI6PriDQ7N,5.0,1,0
B0HBB9Z9GS,"18,5 Zoll Laptop AI-Unterstützung 16GB RAM 256GB SSD | Win 11, 8000mAh Akku, WiFi6, Full-HD, 180° Drehung Vollfunktions Type-C, HDMI, Deutsche Tastatur Ideal für Studium, Business",MELIUNA,687.42,5.0,2.0,Unknown,16.0,256.0,Unknown,18.5,1920x1080,Windows 11 Home,German,https://www.amazon.de/MELIUNA-Zoll-Laptop-AI-Unterst%C3%BCtzung-256GB/dp/B0HBB9Z9GS/ref=sr_1_75?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-75&xpid=sLKVI6PriDQ7N,5.0,1,1
B0GRV8XZK9,"HP ProBook 635 Aero G7 Laptop, 13,3 Zoll FHD(1920x1080), AMD Ryzen 5 4500U, 8GB RAM, 256GB SSD, japanische QWERTY-Tastatur, Windows 11 Pro (erneuert)",HP,188.18,1.7,3.0,AMD Ryzen 5 4500U,8.0,256.0,Intel UHD Graphics,13.3,1920x1080,Windows 11 Pro,QWERTZ,https://www.amazon.de/HP-ProBook-635-Aero-QWERTY-Tastatur/dp/B0GRV8XZK9/ref=sr_1_76?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-76&xpid=sLKVI6PriDQ7N,5.0,1,1
B0F9B2CJTC,"Alienware 16 Aurora Gaming Laptop - Intel 7 240H, RTX 5060 | 16"" WQXGA 120Hz 100% sRGB Display, 16GB RAM, 1TB SSD, Win 11 Home, 3 Monate Game Pass, Erhalte 2 Games",Alienware,1030.29,4.0,63.0,Intel Core 7 240H,16.0,1024.0,NVIDIA GeForce RTX 5060,16.0,2560x1600,Windows 11 Home,QWERTZ,https://www.amazon.de/Alienware-16-Aurora-Gaming-Laptop/dp/B0F9B2CJTC/ref=sr_1_77?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-77&xpid=sLKVI6PriDQ7N,5.0,1,0
B0DDCSBL87,"Lenovo IdeaPad 1 | Laptop | Ryzen 3 | 8GB | 512GB | 65W Netzteil | 15.6"" Full HD Display | AMD Ryzen 3 7320U | 512GB SSD | 8GB RAM | AMD Radeon 610M Grafik | QWERTZ | Windows 11 | Grau",Lenovo,337.4,4.4,531.0,AMD Ryzen 3 7320U,8.0,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/Lenovo-IdeaPad-Display-Windows-Premium/dp/B0DDCSBL87/ref=sr_1_78?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-78&xpid=sLKVI6PriDQ7N,5.0,1,1
B0B1QDNQMF,"Acer Aspire 1 A115-32-C3AK Ordinateur Portable 15.6"" FHD (Intel® Celeron® N4500, Ram 4 Go, 128 Go eMMC, Intel UHD Graphic, Windows 11) - Clavier AZERTY, Laptop Gris + Microsoft 365 Personnel Inclus",Acer,342.86,4.2,1200.0,Intel Celeron N4500,4.0,128.0,Intel UHD Graphics,15.6,1920x1080,Windows 11,AZERTY,https://www.amazon.de/A115-32-C3AK-Ordinateur-Portable-Celeron%C2%AE-Graphic/dp/B0B1QDNQMF/ref=sr_1_79?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-79&xpid=sLKVI6PriDQ7N,5.0,0,1
B0H5PZXKB9,"Auusda Laptop 15,6 Zoll Notebook, 16GB DDR4 RAM 512GB SSD, 3250C Prozessor, Fingerabdrucksensor, beleuchtete Tastatur, Ziffernblock, Privacy-Kameraabdeckung, leichtes Notebook für Schule & Büro",Auusda,368.53,4.5,16.0,Intel Core 5,16.0,512.0,Unknown,15.6,1920x1080,Windows 11,QWERTZ,https://www.amazon.de/Auusda-Fingerabdrucksensor-beleuchtete-Ziffernblock-Privacy-Kameraabdeckung/dp/B0H5PZXKB9/ref=sr_1_80?dib=eyJ2IjoiMSJ9.SS0UmWDfXuDvB4vTP8iZwE9vfkVEweBDFuLSd1fOoz6F9w5Jv2AfaC_VS4S93dpMX4jTexmhrTeTu0yD594SoFKVK5UivHYaEfpdZu7wJqCPT1UHFEBXW-1PMzdRxWVrj7XDBT8qvevqIrA7GwIrZy9tBZyF2gRsotkJVFvJqJD0EjXpUtBZmlOYbiC3iewr5fzq5PR_EuryMuU_NWV4QMzNuXya5Nmbe3_ijYHtqFU.WEXS7Ny-Zp0Fn14mUT47TNHbX2erT6cbENdUnwtk4Pg&dib_tag=se&keywords=laptop&qid=1788690897&sr=8-80&xpid=sLKVI6PriDQ7N,5.0,1,1
B0CYT8KDX9,"2021 Microsoft Surface Laptop 4 mit Intel Core i7-1185G7 (13,5-zoll, 16GB RAM, 256GB SSD) (QWERTY Englisch) Schwarz (Generalüberholt)",Amazon Renewed,379.71,3.6,23.0,Intel Core i7-1185G7,16.0,256.0,Intel Iris Xe,13.5,2560x1600,Windows 10 Pro,QWERTY,https://www.amazon.de/Microsoft-Surface-i7-1185G7-Englisch-General%C3%BCberholt/dp/B0CYT8KDX9/ref=sr_1_81?dib=eyJ2IjoiMSJ9.O9xS_BgZIUAfvsol7BeMm7ekAO4Pbs-jrZpuzLhcb6HR7Yn4UgYRdy4S4aXUQwXuablqX03K5jBS_XFMqBKD80D7ZNv-TKo5MRsUGiOnFoNVf-Ewxbyrl1zeb_bO-xtIDT5b8Hu9mIBjZ9ZulYEMhuSR2KN1EhxHiKJjDbUr-P5c-_cuGhCVfpjktFAk_qUZYO5g9gIn6pLIgvjpkLIX8CnuAi-E5exnNsbX7HjrrLY.uaW4HWobp0E-S0TtkLnXB0k7lAzaL8N-_MMnFZGpziY&dib_tag=se&keywords=laptop&qid=1788691034&sr=8-81&xpid=sLKVI6PriDQ7N,6.0,0,1
B0H829J7MZ,"15,6"" FHD Laptop|Ryzen 7 8-Kern|16 GB DDR4|512 GB NVMe-mit Netzteil | Metallgehäuse|Fingerprint|WiFi|BT5.0|USB 3.0|Type-C (vollwertig)|Beleuchtete Tastatur|Notebook PC für Gaming Schüler und Büro",Rumtuk,455.42,5.0,4.0,Intel Core 5,16.0,512.0,Intel UHD Graphics,15.6,1920x1080,Windows 11,QWERTZ,https://www.amazon.de/Rumtuk-Laptop-8-Kern-NVMe-mit-Netzteil/dp/B0H829J7MZ/ref=sr_1_82?dib=eyJ2IjoiMSJ9.O9xS_BgZIUAfvsol7BeMm7ekAO4Pbs-jrZpuzLhcb6HR7Yn4UgYRdy4S4aXUQwXuablqX03K5jBS_XFMqBKD80D7ZNv-TKo5MRsUGiOnFoNVf-Ewxbyrl1zeb_bO-xtIDT5b8Hu9mIBjZ9ZulYEMhuSR2KN1EhxHiKJjDbUr-P5c-_cuGhCVfpjktFAk_qUZYO5g9gIn6pLIgvjpkLIX8CnuAi-E5exnNsbX7HjrrLY.uaW4HWobp0E-S0TtkLnXB0k7lAzaL8N-_MMnFZGpziY&dib_tag=se&keywords=laptop&qid=1788691034&sr=8-82&xpid=sLKVI6PriDQ7N,6.0,1,0
B0DDCQJH2F,"Lenovo IdeaPad 1 Laptop | 15.6"" Full HD Display | AMD Ryzen 5 7520U | AMD Radeon Grafik | 16GB RAM | 512GB SSD | Win11 | QWERTZ | Cloud Grau | 3 Monate Premium Care",Lenovo,349.0,4.3,264.0,Intel Core 3-N355,16.0,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/Lenovo-IdeaPad-Display-Windows-Premium/dp/B0DDCQJH2F/ref=sr_1_83?dib=eyJ2IjoiMSJ9.O9xS_BgZIUAfvsol7BeMm7ekAO4Pbs-jrZpuzLhcb6HR7Yn4UgYRdy4S4aXUQwXuablqX03K5jBS_XFMqBKD80D7ZNv-TKo5MRsUGiOnFoNVf-Ewxbyrl1zeb_bO-xtIDT5b8Hu9mIBjZ9ZulYEMhuSR2KN1EhxHiKJjDbUr-P5c-_cuGhCVfpjktFAk_qUZYO5g9gIn6pLIgvjpkLIX8CnuAi-E5exnNsbX7HjrrLY.uaW4HWobp0E-S0TtkLnXB0k7lAzaL8N-_MMnFZGpziY&dib_tag=se&keywords=laptop&qid=1788691034&sr=8-83&xpid=sLKVI6PriDQ7N,6.0,1,1
B0FMRRVM16,"PC Portable 15,6 Zoll,16GB DDR4 512GB SSD TF 1TB, Laptop Win 11,N95 (bis zu 3,4 GHz),1920x1080 FHD, WiFi 5, USB 3.0, Gamer Computer Notebook,Klavier komplette Rückbeleuchtung",BEYNIVAN,300.73,4.0,63.0,Intel Core i5-1145G7,16.0,512.0,Intel UHD Graphics,15.6,1920x1080,Windows 11,QWERTZ,https://www.amazon.de/BEYNIVAN-Portable15-N95-1920x1080-R%C3%BCckbeleuchtung/dp/B0FMRRVM16/ref=sr_1_84?dib=eyJ2IjoiMSJ9.O9xS_BgZIUAfvsol7BeMm7ekAO4Pbs-jrZpuzLhcb6HR7Yn4UgYRdy4S4aXUQwXuablqX03K5jBS_XFMqBKD80D7ZNv-TKo5MRsUGiOnFoNVf-Ewxbyrl1zeb_bO-xtIDT5b8Hu9mIBjZ9ZulYEMhuSR2KN1EhxHiKJjDbUr-P5c-_cuGhCVfpjktFAk_qUZYO5g9gIn6pLIgvjpkLIX8CnuAi-E5exnNsbX7HjrrLY.uaW4HWobp0E-S0TtkLnXB0k7lAzaL8N-_MMnFZGpziY&dib_tag=se&keywords=laptop&qid=1788691034&sr=8-84&xpid=sLKVI6PriDQ7N,6.0,1,0
B0H27BDGFN,"Lenovo ThinkPad X1 Carbon Gen 10, Intel i5 10x1.6 GHz Prozessor, 32 GB Arbeitsspeicher, 512GB SSD, 14 Zoll Display, 1920 IPS, LTE, Cam, Windows 11 Pro G1A (Generalüberholt)",Amazon Renewed,686.57,5.0,1.0,Intel Core i5-1245U,32.0,512.0,Intel Iris Xe,14.0,1920x1200,Windows 11 Pro,Unknown,https://www.amazon.de/Lenovo-Carbon-Gen-Arbeitsspeicher-General%C3%BCberholt/dp/B0H27BDGFN/ref=sr_1_85?dib=eyJ2IjoiMSJ9.O9xS_BgZIUAfvsol7BeMm7ekAO4Pbs-jrZpuzLhcb6HR7Yn4UgYRdy4S4aXUQwXuablqX03K5jBS_XFMqBKD80D7ZNv-TKo5MRsUGiOnFoNVf-Ewxbyrl1zeb_bO-xtIDT5b8Hu9mIBjZ9ZulYEMhuSR2KN1EhxHiKJjDbUr-P5c-_cuGhCVfpjktFAk_qUZYO5g9gIn6pLIgvjpkLIX8CnuAi-E5exnNsbX7HjrrLY.uaW4HWobp0E-S0TtkLnXB0k7lAzaL8N-_MMnFZGpziY&dib_tag=se&keywords=laptop&qid=1788691034&sr=8-85&xpid=sLKVI6PriDQ7N,6.0,0,0
