asin,title,brand,price_eur,rating,reviews,cpu,ram_gb,storage_gb,gpu,screen_size_inch,resolution,os,keyboard,product_url,search_page,gaming,touchscreen
B0DS2LB2DT,"Acer Aspire Go 15 | Laptop | Ryzen 7 | 16GB | 512GB | mit Netzteil | 15,6"" FHD IPS Display | AMD Ryzen 7 5825U | 16GB RAM | 512GB SSD | AMD Grafik| Windows 11 | QWERTZ Tastatur | AG15-42P-R8SZ",Acer,599.0,4.3,188.0,AMD Ryzen 7 5825U,16.0,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11,QWERTZ,https://www.amazon.de/Acer-Aspire-Laptop-Ryzen-Netzteil/dp/B0DS2LB2DT/ref=sr_1_11?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-11,1.0,0,0
B0G43WRLBZ,"Laptop 15,6 Zoll, 8 GB RAM 256 GB SSD, Full HD IPS Notebook in Roségold, beleuchtete Tastatur, Fingerabdruck, Dual-Band WLAN, für Schule, Studium und Homeoffice",Trygood,214.81,3.8,31.0,Unknown,8.0,256.0,Unknown,15.6,1920x1080,MacOS,QWERTZ,https://www.amazon.de/Trygood-Fingerabdruck-Beleuchteter-Studenten-Tastaturfolie/dp/B0G43WRLBZ/ref=sr_1_12?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-12,1.0,1,1
B0F9LFB3HM,"HP Laptop mit 17,3"" HD+ Display, Intel Celeron N4120, 8 GB DDR4 RAM, 256 GB SSD, Intel UHD-Grafik, Windows 11, QWERTZ Tastatur, Schwarz",HP,287.83,4.0,516.0,Intel Celeron N4120,8.0,256.0,Intel UHD Graphics,17.3,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/HP-Laptop-Intel-Celeron-N4500/dp/B0F9LFB3HM/ref=sr_1_13?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-13,1.0,0,1
B0FMRQ91KM,"PC Portable 15,6 Zoll,N95 (bis zu 3,4 GHz),16GB DDR4 512GB SSD TF 1TB,Laptop Win 11,WiFi 5,USB 3.0,1920x1080 FHD,Gamer Computer Notebook,Klavier komplette Rückbeleuchtung",Beynivan,300.73,4.0,63.0,N95,16.0,512.0,Unknown,15.6,1920x1080,Windows 11,Unknown,,1.0,0,0
B0GMFR2ZRL,"17,3 Zoll Laptop,16GB DDR4 RAM,1TB SSD,4-Kern N150 bis zu 3,6 GHz | Beat N95 N5095,FHD IPS Display,Lange Akkulaufzeit, Beleuchtete Tastatur,Ziffernblock,Webcam,WiFi/Bluetooth/USB 3.0,Grau",Unknown,437.38,4.2,39.0,Intel N150,16.0,1024.0,Unknown,17.3,1920x1080,Windows 11,Unknown,,1.0,0,0
B08369D1K4,"Acer Aspire 17 | Laptop | Intel Core 5 | 16GB | 512GB | mit Netzteil | 17"" FHD IPS Display | Intel Core 5 120U | 16GB RAM | 512GB SSD | Intel Grafik | Windows 11 | QWERTZ Tastatur | A17-51M-51UJ",Acer,626.42,4.5,104.0,Intel Core 5 120U,16.0,512.0,Intel UHD Graphics,17.3,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/Acer-Aspire-Laptop-Intel-Netzteil/dp/B08369D1K4/ref=sr_1_16?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-16,1.0,1,0
B0HBPJXKF4,"17,6 Zoll Laptop, Core i3-10100Y, 16GB RAM 256GB SSD, Windows 11 | 1920x1200 FHD+ 16:10 Display, WiFi 6, Tastatur beleuchtet, Full-Featured Type-C,Mattschwarz",Unowo,411.6,5.0,1.0,Intel Core i3-10100Y,16.0,2048.0,Intel UHD Graphics,17.6,1920x1200,Windows 11 Home,Unknown,https://www.amazon.de/Unowo-Laptop-i3-10100Y-256GB-Windows/dp/B0HBPJXKF4/ref=sr_1_17?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-17,1.0,0,0
B0G2SX5G3J,"Lenovo IdeaPad Slim 3 | Laptop | Ryzen 3 | 8GB | 512GB | Ohne Netzteil | 15.6"" Full HD Display | AMD Ryzen 3 30 | 512GB SSD | 8 GB RAM | AMD Radeon 610M Grafik | QWERTZ | Windows 11 | Blau",Lenovo,385.82,3.6,19.0,AMD Ryzen 3 7330U,8.0,512.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,QWERTZ,https://www.amazon.de/Lenovo-IdeaPad-Display-Windows-Premium/dp/B0G2SX5G3J/ref=sr_1_18?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-18,1.0,0,0
B0DX2X31XY,"ASUS Vivobook 16 X1607QA | Laptop | Snapdragon X | 16GB | 512GB | 16"" WUXGA | Snapdragon X X1-26-100 | Copilot+ PC | 16GB RAM | 512GB SSD | Win11 Home | ohne Netzteil",ASUS,600.64,3.1,7.0,Snapdragon X,16.0,512.0,NVIDIA GeForce RTX 5060,16.0,1920x1200,Windows 11 Home,QWERTZ,https://www.amazon.de/ASUS-Vivobook-X1607QA-Snapdragon-X1-26-100/dp/B0DX2X31XY/ref=sr_1_19?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-19,1.0,1,0
B0GLQKSVHZ,"Lenovo Laptop, 15,6"" FHD Display, Intel N150, 4 x 3.60 GHz, 128 GB SSD, Intel UHD Graphics, Norton 360, Windows 11, Schwarz",Lenovo,287.83,4.4,52.0,Intel N150,8.0,128.0,Intel UHD Graphics,15.6,1920x1080,Windows 11,QWERTZ,https://www.amazon.de/Lenovo-Display-Graphics-Windows-Schwarz/dp/B0GLQKSVHZ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.I87OHyMxwn8YpkQsfSIh9bvscVJu5iFqyj1fNuDANOaiaw05xizUqcnjL3poIc5DdowHxvt4w_brm29jI5jHW3N8BVOD_hcjqjLbmv2coQI_q6qRuAGH8Kirx6zc_vOJu2c956kh39FNNh8BBJ-Uf9gW_ljNA3u9AAHTdiGC7dPrf_FWvs1Vmlbb66EOnBKpoI-cOx7v-soqWBWyXDfSI3jDGJgwdJ3NN3_MkTkNq3Y.Pha0FVOGYY7fMyxacS7cegnKkVRfVrPVwc74uyLMs9I&dib_tag=se&keywords=laptop&qid=1788690457&sr=8-20,1.0,0,0
