asin,title,price_eur,rating,reviews,product_url,image_url
B0GSTYMGQ1,"15.6 Zoll Laptop 16GB RAM 512GB ROM, AI-Unterstützung, AMD R5 (übertrifft i5-13420H, bis zu 3.6GHz), FHD Display Notebook, WiFi 6 USB 3.0, Full-Function Type-C",2983.65,4.6,15.0,,https://m.media-amazon.com/images/I/71iF5cqaFpL._AC_UY218_.jpg
B08369D1K4,"Acer Aspire 17 | Laptop | Intel Core 5 | 16GB | 512GB | mit Netzteil | 17"" FHD IPS Display | Intel Core 5 120U | 16GB RAM | 512GB SSD | Intel Grafik | Windows 11 | QWERTZ Tastatur | A17-51M-51UJ",5488.44,4.5,98.0,,https://m.media-amazon.com/images/I/71PylXfxWbL._AC_UY218_.jpg
B0G2SX5G3J,"Lenovo IdeaPad Slim 3 | Laptop | Ryzen 3 | 8GB | 512GB | Ohne Netzteil | 15.6"" Full HD Display | AMD Ryzen 3 30 | 512GB SSD | 8 GB RAM | AMD Radeon 610M Grafik | QWERTZ | Windows 11 | Blau",3140.7,3.5,20.0,,https://m.media-amazon.com/images/I/61c4NClZAyL._AC_UY218_.jpg
B0G43WRLBZ,"Laptop 15,6 Zoll, 8 GB RAM 256 GB SSD, Full HD IPS Notebook in Roségold, beleuchtete Tastatur, Fingerabdruck, Dual-Band WLAN, für Schule, Studium und Homeoffice",1884.37,3.8,29.0,,https://m.media-amazon.com/images/I/71dXpaOkSLL._AC_UY218_.jpg
B0DD3SWKRK,Laptop 14 Zoll Win 11 Notebook 6GB RAM 256GB SSD Celeron N4020 | SSD Unterstützung 1TB Celeron N4020 (bis2.8GHz) 5000mAh 1920x1080p WiFi Deutscher Tastaturschutz und kabellose Maus-Grey,1570.35,4.0,62.0,,https://m.media-amazon.com/images/I/711KcJYmDzL._AC_UY218_.jpg
B0DTKKSSVH,"Samsung Galaxy Book5 360 15,6"" 2-in-1-Laptop, Convertible AI-Notebook mit Intel Core Ultra 7 Prozessor, 16 GB RAM, 512 GB Speicher, Moonstone Gray, 3 Jahre Herstellergarantie [Exklusiv bei Amazon]",7494.73,4.4,77.0,,https://m.media-amazon.com/images/I/61SwBVfBbrL._AC_UY218_.jpg
B0836QR869,"Acer Aspire 16 AI | Laptop | Ryzen AI 5 | 16GB | 512GB | mit Netzteil | 16"" 120Hz Display | AMD Ryzen AI 5 330 | 16GB RAM | 512GB SSD | Radeon 820M | Windows 11 | QWERTZ Keyboard | A16-61M-R98E",5615.07,4.2,6.0,,https://m.media-amazon.com/images/I/71tm-GkL-5L._AC_UY218_.jpg
B0CLDSTH7F,"Lenovo Laptop - 17,3 Zoll FHD Display - Intel U300 5 x 4.40 GHz - 16 GB DDR4 RAM - 512 GB SSD - Intel UHD Graphics - Windows 11 Pro - MS Office - #7402",4310.68,4.5,616.0,,https://m.media-amazon.com/images/I/51Ou5y5mRdL._AC_UY218_.jpg
B0DVM1KDW8,"Asus Chromebook CX1405CKA#B0DVM1KDW8, Display 14"" FHD, Anti-Glare, Prozessor Intel Celeron N4500, RAM 4GB, 64G eMMC, ChromeOS, Blau",,4.1,180.0,,https://m.media-amazon.com/images/I/71kWElQm8iL._AC_UY218_.jpg
B0H14DBJ73,"Molegar 2026 Laptop 15.6 Zoll,8GB RAM 256GB SSD,N5100 Prozessor,FHD Display,Notebook mit Beleuchtete Tastatur und Fingerabdrucksensor für Studierende und Unternehmen",2355.45,4.4,7.0,,https://m.media-amazon.com/images/I/71jQ+0DKZKL._AC_UY218_.jpg
B0GR1Q73PS,"Apple MacBook Pro Laptop mit M5 Pro Chip mit 18-Core CPU und 20-Core GPU: Entwickelt für KI, 16,2"" Liquid Retina XDR Display, 24 GB gemeinsamer Arbeitsspeicher, 1 TB SSD, WLAN 7; Silber",22136.09,4.7,57.0,,https://m.media-amazon.com/images/I/61MsmWsrtqL._AC_UY218_.jpg
B0CCRS5P4S,"Lenovo (FullHD 15,6 Zoll Gaming Notebook (AMD Ryzen 5 7520U 8-Thread CPU, 4.3 GHz, 16 GB DDR5, 512 GB SSD, Radeon 610M, HDMI, BT, USB 3.0, WLAN, Windows 11 Prof. 64, MS Office) - 7331",3918.1,4.3,422.0,,https://m.media-amazon.com/images/I/51HPh+MK7-L._AC_UY218_.jpg
B0FFH8H1QM,"Acer Nitro V17 AI | Gaming Laptop | Ryzen 7 | RTX 5060 | 16GB | 1TB | 17"" FHD 144Hz Display| AMD Ryzen 7 260 | NVIDIA RTX 5060 | 16GB RAM| 1TB | Windows 11| QWERTZ Tastatur | ANV17-41-R0BS",8636.99,4.3,49.0,,https://m.media-amazon.com/images/I/71chTr95i7L._AC_UY218_.jpg
B0GLQKSVHZ,"Lenovo Laptop, 15,6"" FHD Display, Intel N150, 4 x 3.60 GHz, 128 GB SSD, Intel UHD Graphics, Norton 360, Windows 11, Schwarz",2682.25,4.4,52.0,,https://m.media-amazon.com/images/I/71J5YHHiXFL._AC_UY218_.jpg
B0GT65GL58,"Samsung Galaxy Book4 Edge AI-Laptop, 15,6-Zoll-Display, 16GB RAM, Snapdragon X Plus Prozessor, Notebook 512GB Speicher, Copilot+ PC, Sapphire Blue, 3 Jahre Herstellergarantie [Exklusiv bei Amazon]",4546.22,4.1,10.0,,https://m.media-amazon.com/images/I/71U8WQp-NLL._AC_UY218_.jpg
B08334HRVN,"Acer Nitro V17 AI | Gaming Laptop | Ryzen 9 | RTX 5070 | 32GB | 1TB | 17"" FHD 144Hz Display| AMD Ryzen AI 9 365|NVIDIA RTX 5070 | 32GB RAM| 1TB SSD | Windows 11| QWERTZ Tastatur | ANV17-61-R3KD",12555.23,4.6,32.0,,https://m.media-amazon.com/images/I/71chTr95i7L._AC_UY218_.jpg
